ods,providerId,name,wIMD15,place_name,postcode,country,search_name
RXH01,RXH,Royal Sussex County Hospital,17.44499941,Royal Sussex County Hospital,BN2 5BE,England,"Royal Sussex County Hospital, BN2 5BE"
RD130,RD1,Royal United Hospital Bath,17.32128681,Royal United Hospitals,BA1 3NG,England,"Royal United Hospitals, BA1 3NG"
RTD02,RTD,Royal Victoria Infirmary,24.31408387,The Royal Victoria Infirmary,NE1 4LP,England,"The Royal Victoria Infirmary, NE1 4LP"
RNA01,RNA,Russells Hall Hospital,25.09735735,Russells Hall Hospital,DY1 2HQ,England,"Russells Hall Hospital, DY1 2HQ"
RM301,RM3,Salford Royal Hospital,24.55905509,Salford Royal,M6 8HD,England,"Salford Royal, M6 8HD"
RXK01,RXK,Sandwell General Hospital,25.61669633,Sandwell District General Hospital,B71 4HJ,England,"Sandwell District General Hospital, B71 4HJ"
RJL32,RJL,Scunthorpe General Hospital,24.18139337,Scunthorpe General Hospital,DN15 7BH,England,"Scunthorpe General Hospital, DN15 7BH"
RCUEF,RCU,Sheffield Children's Hospital,25.04419468,Sheffield Children's Hospital,S10 2TH,England,"Sheffield Children's Hospital, S10 2TH"
RHM01,RHM,Southampton General Hospital,16.04219923,Southampton General Hospital,SO16 6YD,England,"Southampton General Hospital, SO16 6YD"
RAJ01,RAJ,Southend University Hospital,19.70386927,Southend Hospital,SS0 0RY,England,"Southend Hospital, SS0 0RY"
RVJ01,RVJ,Southmead Hospital,18.40167347,Southmead Hospital,BS10 5NB,England,"Southmead Hospital, BS10 5NB"
RVY01,RVY,Southport & Formby District General Hospital,26.20636532,Southport And Formby District General Hospital,PR8 6PN,England,"Southport And Formby District General Hospital, PR8 6PN"
RVR05,RVR,St Helier Hospital and Queen Mary's Hospital for Children,16.39157391,St Helier Hospital,SM5 1AA,England,"St Helier Hospital, SM5 1AA"
RR813,RR8,St James's University Hospital,24.59874564,St James's Hospital,LS9 7TF,England,"St James's Hospital, LS9 7TF"
R1F01,R1F,St Mary's Hospital,18.44113579,St Mary's Hospital,PO30 5TG,England,"St Mary's Hospital, PO30 5TG"
RYJ01,RYJ,St Mary's Hospital,18.72961317,St Mary's Hospital (Hq),W2 1NY,England,"St Mary's Hospital (Hq), W2 1NY"
RA707,RA7,St Michael's Hospital,18.43949181,St Michael's Hospital,BS2 8EG,England,"St Michael's Hospital, BS2 8EG"
RTK01,RTK,St Peter's Hospital,15.00594629,St Peter's Hospital,KT16 0PZ,England,"St Peter's Hospital, KT16 0PZ"
RYR16,RYR,St Richard's Hospital,17.60797615,St Richard's Hospital,PO19 6SE,England,"St Richard's Hospital, PO19 6SE"
RJ122,RJ1,St Thomas' Hospital,19.00848272,St Thomas',SE1 7EH,England,"St Thomas', SE1 7EH"
RWJ09,RWJ,Stepping Hill Hospital,23.0465144,Stepping Hill Hospital,SK2 7JE,England,"Stepping Hill Hospital, SK2 7JE"
RXQ02,RXQ,Stoke Mandeville Hospital,15.92163082,Stoke Mandeville Hospital,HP21 8AL,England,"Stoke Mandeville Hospital, HP21 8AL"
RMP01,RMP,Tameside General Hospital,28.66225794,Tameside & Glossop Integrated Care Nhs Foundation Trust,OL6 9RW,England,"Tameside & Glossop Integrated Care Nhs Foundation Trust, OL6 9RW"
RBV01,RBV,The Christie Main Site,23.4337857,The Christie Main Site,M20 4BX,England,"The Christie Main Site, M20 4BX"
RJR05,RJR,The Countess of Chester Hospital,23.24654306,Countess Of Chester Hospital,CH2 1HJ,England,"Countess Of Chester Hospital, CH2 1HJ"
RAS01,RAS,The Hillingdon Hospital,18.75390888,Hillingdon Hospital,UB8 3NN,England,"Hillingdon Hospital, UB8 3NN"
RTRAT,RTR,The James Cook University Hospital,23.49531851,The James Cook University Hospital,TS4 3BW,England,"The James Cook University Hospital, TS4 3BW"
RQWG0,RQW,The Princess Alexandra Hospital,19.46649994,Princess Alexandra Hospital,CM20 1QX,England,"Princess Alexandra Hospital, CM20 1QX"
RCX70,RCX,The Queen Elizabeth Hospital,18.91172341,The Queen Elizabeth Hospital,PE30 4ET,England,"The Queen Elizabeth Hospital, PE30 4ET"
RAL01,RAL,The Royal Free Hospital,19.8407777,Royal Free Hospital,NW3 2QG,England,"Royal Free Hospital, NW3 2QG"
R1H12,R1H,The Royal London Hospital,20.71562463,The Royal London Hospital,E1 1FR,England,"The Royal London Hospital, E1 1FR"
RPY01,RPY,The Royal Marsden - London,16.07952645,The Royal Marsden Hospital (London),SW3 6JJ,England,"The Royal Marsden Hospital (London), SW3 6JJ"
RPY02,RPY,The Royal Marsden - Sutton,16.07952645,The Royal Marsden Hospital (Surrey),SM2 5PT,England,"The Royal Marsden Hospital (Surrey), SM2 5PT"
RW603,RW6,The Royal Oldham Hospital,27.70268959,Royal Oldham Hospital,OL1 2JH,England,"Royal Oldham Hospital, OL1 2JH"
RJE01,RJE,The Royal Stoke University Hospital,22.01453151,Royal Stoke University Hospital,ST4 6QG,England,"Royal Stoke University Hospital, ST4 6QG"
RWFTW,RWF,The Tunbridge Wells Hospital at Pembury,18.580202,Tunbridge Wells Hospital At Pembury,TN2 4QJ,England,"Tunbridge Wells Hospital At Pembury, TN2 4QJ"
RKEQ4,RKE,The Whittington Hospital,23.8848606,The Whittington Hospital,N19 5NF,England,"The Whittington Hospital, N19 5NF"
RA901,RA9,Torbay Hospital,19.7902124,Torbay Hospital,TQ2 7AA,England,"Torbay Hospital, TQ2 7AA"
RKB01,RKB,University Hospital,21.49988233,University Hospital (Coventry),CV2 2DX,England,"University Hospital (Coventry), CV2 2DX"
REM21,REM,University Hospital Aintree,26.47323304,Aintree University Hospital,L9 7AL,England,"Aintree University Hospital, L9 7AL"
RJ224,RJ2,University Hospital Lewisham,23.29614917,University Hospital Lewisham,SE13 6LH,England,"University Hospital Lewisham, SE13 6LH"
