redcap_data_access_group_e,redcap_data_access_group_unlabelled,dag_id_e,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new,all_people,ccg_name,updated_all_age_mid_2018,multiplication_factor,scotland_average_imd_rank,average_imd_rank,wales_average_imd_rank,wimd15
North West Boroughs Healthcare NHSFT,north_west_borough,RVT33,North West Boroughs Healthcare NHSFT,WA2 8WA,England,-2.608387,53.4286247,E38000194,-0.018768137689710203,WA2,Warrington,16683.142804518666,209546.99999999997,NHS Warrington CCG,209547,1.0361918230907687,NA,126,NA,NA
East Kent Hospitals NHSFT,east_kent_hospital,RVV00,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,1.38939869403839,51.3780517578125,E38000184,0.8362759957351174,CT9,Kent,10709.07911576498,141819,NHS Thanet CCG,141819,1.0568837285558852,NA,28,NA,20.0538634
Lancashire & South Cumbria NHS Foundation Trust,lancashire__south,RW5JJ,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,0.164363765873978,PR2,Preston,13689.163659961065,202562,NHS Greater Preston CCG,202562,1.0045127248923889,NA,85,NA,24.60487045
The Princess Alexandra Hospital,NA,RWQG0,The Princess Alexandra Hospital,CM20 1QX,England,0.0858092,51.7710499,E38000197,-0.6309830884721978,CM20,Harlow,19791.474051191526,306910,NHS West Essex CCG,306910,1.0729393174524378,NA,148,NA,19.46649994
Leicester Royal Infirmary,university_hospitak,RWWAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1354407,52.6257466,E38000097,3.754855743517658,LE1,Leicester,9319.274472372468,355218,NHS Leicester City CCG,355218,1.0769435997562447,NA,18,NA,21.10790778
Cheshire and Wirral Partnership NHSFT,cheshire_and_wirra,RXADT,Cheshire and Wirral Partnership NHSFT,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,-1.283603738783282,CH2,Cheshire West and Chester,17594.426404361224,234251,NHS West Cheshire CCG,234251,1.0300777007268778,NA,144,NA,23.24654306
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RXC70,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,PE30 4ET,England,0.4462463,52.7564633,E38000203,-0.8182545947655667,PE30,West Norfolk,12296.256241033,175904.00000000003,NHS West Norfolk CCG,175904,1.03474158519512,NA,62,NA,18.91172341
NUH Nottingham University Hosptial,nuh_nottingham_uni,RXICC,NUH Nottingham University Hosptial,NG5 1PB,England,-1.1570212,52.9904528,E38000132,3.2785971768079634,NG5,Nottingham,8126.121404813148,331069,NHS Nottingham City CCG,331069,1.0830574456948443,NA,10,NA,21.62513959
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RXV70,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,PE30 4ET,England,0.4462463,52.7564633,E38000203,-0.8182545947655667,PE30,West Norfolk,12296.256241033,175904.00000000003,NHS West Norfolk CCG,175904,1.03474158519512,NA,62,NA,18.91172341
Imperial College Healthcare NHS Trust,imperial_college_h,RYG03,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,3.6833235765625165,W2,Westminster,16902.72077979619,226099.00000000003,NHS West London CCG,226099,1.0247463050503312,NA,78,NA,18.72961317
University Hospitals Coventry and Warwickshire,university_hospitai,RYGHQ,University Hospitals Coventry and Warwickshire,CV2 2DX,England,-1.4376872,52.4211586,E38000038,1.271060675231041,CV2,Coventry,14598.659818634138,473979,NHS Coventry and Rugby CCG,473979,1.1365448943134269,NA,81,NA,21.49988233
Imperial College Healthcare NHS Trust,imperial_college_h,RYI01,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,3.6833235765625165,W2,Westminster,16902.72077979619,226099.00000000003,NHS West London CCG,226099,1.0247463050503312,NA,78,NA,18.72961317
Calderdale and Huddersfield NHS Trust,calderdale_and_hud,RYW01,Calderdale and Huddersfield NHS Trust,HD3 3EA,England,-1.8189892,53.6557163,E38000064,0.3338878268342915,HD3,Kirklees,15550.801026694046,245977,NHS Greater Huddersfield CCG,245977,1.0363864650439663,NA,89,NA,26.49275358
University Hospital of North Durham,university_hospitab,RZPCP,University Hospital of North Durham,DH1 5TW,England,-1.5933009,54.7885266,E38000116,-0.7281221053881309,DH1,County Durham,16013.41120354964,251666,NHS North Durham CCG,251666,1.0475433309468707,NA,88,NA,23.94938359
