redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RXC70,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,PE30 4ET,England,0.4462463,52.7564633,E38000203,-0.8182545947655667,PE30,West Norfolk,12296.256241033
NUH Nottingham University Hosptial,nuh_nottingham_uni,RXICC,NUH Nottingham University Hosptial,NG5 1PB,England,-1.1570212,52.9904528,E38000132,3.2785971768079634,NG5,Nottingham,8126.121404813148
The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,the_queen_elizabet,RXV70,The Queen Elizabeth Hospital Kings Lynn NHS Foundation Trust,PE30 4ET,England,0.4462463,52.7564633,E38000203,-0.8182545947655667,PE30,West Norfolk,12296.256241033
Imperial College Healthcare NHS Trust,imperial_college_h,RYG03,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,3.6833235765625165,W2,Westminster,16902.72077979619
University Hospitals Coventry and Warwickshire,university_hospitai,RYGHQ,University Hospitals Coventry and Warwickshire,CV2 2DX,England,-1.4376872,52.4211586,E38000038,1.271060675231041,CV2,Coventry,14598.659818634138
Imperial College Healthcare NHS Trust,imperial_college_h,RYI01,Imperial College Healthcare NHS Trust,W2 1NY,England,-0.1743487,51.5178108,E38000202,3.6833235765625165,W2,Westminster,16902.72077979619
Calderdale and Huddersfield NHS Trust,calderdale_and_hud,RYW01,Calderdale and Huddersfield NHS Trust,HD3 3EA,England,-1.8189892,53.6557163,E38000064,0.3338878268342915,HD3,Kirklees,15550.801026694046
University Hospital of North Durham,university_hospitab,RZPCP,University Hospital of North Durham,DH1 5TW,England,-1.5933009,54.7885266,E38000116,-0.7281221053881309,DH1,County Durham,16013.41120354964
NHS Lothian,nhs_lothian,S341H,NHS Lothian,NA,NA,NA,NA,NA,NA,NA,NA,NA
NHS Lothian,nhs_lothian,SL116,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,0.2606861477440891,EH4,Edinburgh,4524.216276124129
Mid and South Essex University Hospitals Group,mid_and_south_esseb,TAJ01,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,0.6785578474584543,SS1,Southend-on-Sea,14682.917420235455
University Hospitals of Leicester,university_hospitak,TWEAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1348028,52.6278166,E38000097,3.754855743517658,LE1,Leicester,9319.274472372468
